M,K,N,It1
512,256,1,236.00
512,512,1,259.00
512,768,1,262.00
512,1024,1,661.00
512,1280,1,302.00
512,1536,1,375.00
512,1792,1,333.00
512,2048,1,448.00
1024,256,1,291.00
1024,512,1,435.00
1024,768,1,285.00
1024,1024,1,433.00
1024,1280,1,501.00
1024,1536,1,408.00
1024,1792,1,478.00
1024,2048,1,599.00
1536,256,1,385.00
1536,512,1,486.00
1536,768,1,572.00
1536,1024,1,778.00
1536,1280,1,619.00
1536,1536,1,576.00
1536,1792,1,724.00
1536,2048,1,753.00
2048,256,1,339.00
2048,512,1,539.00
2048,768,1,503.00
2048,1024,1,644.00
2048,1280,1,613.00
2048,1536,1,1235.00
2048,1792,1,854.00
2048,2048,1,1024.00
2560,256,1,335.00
2560,512,1,564.00
2560,768,1,471.00
2560,1024,1,819.00
2560,1280,1,767.00
2560,1536,1,1068.00
2560,1792,1,1952.00
2560,2048,1,1863.00
3072,256,1,431.00
3072,512,1,604.00
3072,768,1,649.00
3072,1024,1,698.00
3072,1280,1,764.00
3072,1536,1,1789.00
3072,1792,1,1398.00
3072,2048,1,1382.00
3584,256,1,660.00
3584,512,1,691.00
3584,768,1,818.00
3584,1024,1,1105.00
3584,1280,1,1073.00
3584,1536,1,1454.00
3584,1792,1,1285.00
3584,2048,1,1790.00
4096,256,1,548.00
4096,512,1,820.00
4096,768,1,954.00
4096,1024,1,1158.00
4096,1280,1,1124.00
4096,1536,1,1520.00
4096,1792,1,1400.00
4096,2048,1,2155.00
