M,K,N,It1
256,256,1,156.00
256,512,1,224.00
256,768,1,182.00
256,1024,1,213.00
256,1280,1,295.00
256,1536,1,199.00
256,1792,1,250.00
256,2048,1,305.00
256,2304,1,225.00
256,2560,1,358.00
256,2816,1,269.00
256,3072,1,256.00
256,3328,1,396.00
256,3584,1,367.00
256,3840,1,301.00
256,4096,1,347.00
512,256,1,181.00
512,512,1,219.00
512,768,1,225.00
512,1024,1,201.00
512,1280,1,335.00
512,1536,1,301.00
512,1792,1,327.00
512,2048,1,307.00
512,2304,1,324.00
512,2560,1,457.00
512,2816,1,366.00
512,3072,1,417.00
512,3328,1,453.00
512,3584,1,474.00
512,3840,1,476.00
512,4096,1,521.00
768,256,1,211.00
768,512,1,229.00
768,768,1,263.00
768,1024,1,297.00
768,1280,1,349.00
768,1536,1,338.00
768,1792,1,446.00
768,2048,1,463.00
768,2304,1,403.00
768,2560,1,603.00
768,2816,1,558.00
768,3072,1,525.00
768,3328,1,575.00
768,3584,1,601.00
768,3840,1,604.00
768,4096,1,630.00
1024,256,1,199.00
1024,512,1,239.00
1024,768,1,275.00
1024,1024,1,283.00
1024,1280,1,331.00
1024,1536,1,480.00
1024,1792,1,423.00
1024,2048,1,534.00
1024,2304,1,601.00
1024,2560,1,597.00
1024,2816,1,575.00
1024,3072,1,681.00
1024,3328,1,686.00
1024,3584,1,797.00
1024,3840,1,729.00
1024,4096,1,752.00
1280,256,1,242.00
1280,512,1,261.00
1280,768,1,315.00
1280,1024,1,372.00
1280,1280,1,464.00
1280,1536,1,553.00
1280,1792,1,564.00
1280,2048,1,642.00
1280,2304,1,742.00
1280,2560,1,756.00
1280,2816,1,757.00
1280,3072,1,846.00
1280,3328,1,921.00
1280,3584,1,1045.00
1280,3840,1,899.00
1280,4096,1,993.00
1536,256,1,319.00
1536,512,1,244.00
1536,768,1,410.00
1536,1024,1,481.00
1536,1280,1,522.00
1536,1536,1,851.00
1536,1792,1,626.00
1536,2048,1,705.00
1536,2304,1,763.00
1536,2560,1,873.00
1536,2816,1,845.00
1536,3072,1,898.00
1536,3328,1,921.00
1536,3584,1,1111.00
1536,3840,1,1114.00
1536,4096,1,1241.00
1792,256,1,329.00
1792,512,1,297.00
1792,768,1,382.00
1792,1024,1,524.00
1792,1280,1,521.00
1792,1536,1,643.00
1792,1792,1,620.00
1792,2048,1,1250.00
1792,2304,1,837.00
1792,2560,1,870.00
1792,2816,1,844.00
1792,3072,1,898.00
1792,3328,1,1085.00
1792,3584,1,1233.00
1792,3840,1,1196.00
1792,4096,1,1305.00
2048,256,1,198.00
2048,512,1,281.00
2048,768,1,342.00
2048,1024,1,472.00
2048,1280,1,795.00
2048,1536,1,582.00
2048,1792,1,845.00
2048,2048,1,860.00
2048,2304,1,943.00
2048,2560,1,1730.00
2048,2816,1,1055.00
2048,3072,1,1256.00
2048,3328,1,1233.00
2048,3584,1,1329.00
2048,3840,1,1354.00
2048,4096,1,1395.00
2304,256,1,263.00
2304,512,1,346.00
2304,768,1,438.00
2304,1024,1,508.00
2304,1280,1,684.00
2304,1536,1,797.00
2304,1792,1,812.00
2304,2048,1,1050.00
2304,2304,1,999.00
2304,2560,1,1163.00
2304,2816,1,1141.00
2304,3072,1,1292.00
2304,3328,1,1363.00
2304,3584,1,1390.00
2304,3840,1,1451.00
2304,4096,1,1609.00
2560,256,1,277.00
2560,512,1,393.00
2560,768,1,376.00
2560,1024,1,579.00
2560,1280,1,640.00
2560,1536,1,777.00
2560,1792,1,889.00
2560,2048,1,1102.00
2560,2304,1,1666.00
2560,2560,1,1882.00
2560,2816,1,1375.00
2560,3072,1,1369.00
2560,3328,1,1479.00
2560,3584,1,1638.00
2560,3840,1,2401.00
2560,4096,1,1755.00
2816,256,1,288.00
2816,512,1,402.00
2816,768,1,417.00
2816,1024,1,664.00
2816,1280,1,773.00
2816,1536,1,838.00
2816,1792,1,963.00
2816,2048,1,1163.00
2816,2304,1,1092.00
2816,2560,1,1220.00
2816,2816,1,1270.00
2816,3072,1,2915.00
2816,3328,1,1514.00
2816,3584,1,1745.00
2816,3840,1,2000.00
2816,4096,1,1851.00
3072,256,1,322.00
3072,512,1,349.00
3072,768,1,778.00
3072,1024,1,678.00
3072,1280,1,1083.00
3072,1536,1,857.00
3072,1792,1,974.00
3072,2048,1,1030.00
3072,2304,1,1159.00
3072,2560,1,1418.00
3072,2816,1,1711.00
3072,3072,1,1525.00
3072,3328,1,1503.00
3072,3584,1,1929.00
3072,3840,1,1746.00
3072,4096,1,2046.00
3328,256,1,279.00
3328,512,1,357.00
3328,768,1,545.00
3328,1024,1,735.00
3328,1280,1,788.00
3328,1536,1,970.00
3328,1792,1,1797.00
3328,2048,1,1143.00
3328,2304,1,2083.00
3328,2560,1,1576.00
3328,2816,1,1773.00
3328,3072,1,1740.00
3328,3328,1,2737.00
3328,3584,1,1983.00
3328,3840,1,1928.00
3328,4096,1,2196.00
3584,256,1,313.00
3584,512,1,468.00
3584,768,1,622.00
3584,1024,1,737.00
3584,1280,1,846.00
3584,1536,1,1040.00
3584,1792,1,1199.00
3584,2048,1,1326.00
3584,2304,1,1538.00
3584,2560,1,1644.00
3584,2816,1,1598.00
3584,3072,1,2387.00
3584,3328,1,1881.00
3584,3584,1,2157.00
3584,3840,1,2797.00
3584,4096,1,2489.00
3840,256,1,256.00
3840,512,1,435.00
3840,768,1,1090.00
3840,1024,1,1160.00
3840,1280,1,906.00
3840,1536,1,1041.00
3840,1792,1,1098.00
3840,2048,1,1315.00
3840,2304,1,1476.00
3840,2560,1,1565.00
3840,2816,1,1737.00
3840,3072,1,1894.00
3840,3328,1,2037.00
3840,3584,1,3740.00
3840,3840,1,2447.00
3840,4096,1,2583.00
4096,256,1,276.00
4096,512,1,483.00
4096,768,1,930.00
4096,1024,1,732.00
4096,1280,1,1050.00
4096,1536,1,1186.00
4096,1792,1,1874.00
4096,2048,1,1431.00
4096,2304,1,2495.00
4096,2560,1,1654.00
4096,2816,1,1829.00
4096,3072,1,2047.00
4096,3328,1,2943.00
4096,3584,1,4009.00
4096,3840,1,2372.00
4096,4096,1,2644.00
