M,K,N,It1
256,256,1,308.00
256,512,1,355.00
256,768,1,503.00
256,1024,1,545.00
256,1280,1,671.00
256,1536,1,812.00
256,1792,1,912.00
256,2048,1,1066.00
256,2304,1,1130.00
256,2560,1,1273.00
256,2816,1,1404.00
256,3072,1,1492.00
256,3328,1,1576.00
256,3584,1,1713.00
256,3840,1,1768.00
256,4096,1,1904.00
512,256,1,408.00
512,512,1,596.00
512,768,1,783.00
512,1024,1,1078.00
512,1280,1,1278.00
512,1536,1,1539.00
512,1792,1,1730.00
512,2048,1,1923.00
512,2304,1,2152.00
512,2560,1,2349.00
512,2816,1,2579.00
512,3072,1,3484.00
512,3328,1,3279.00
512,3584,1,3350.00
512,3840,1,3322.00
512,4096,1,4447.00
768,256,1,534.00
768,512,1,813.00
768,768,1,1184.00
768,1024,1,1491.00
768,1280,1,1854.00
768,1536,1,2139.00
768,1792,1,2487.00
768,2048,1,2738.00
768,2304,1,3645.00
768,2560,1,4147.00
768,2816,1,3922.00
768,3072,1,4412.00
768,3328,1,4584.00
768,3584,1,5085.00
768,3840,1,5009.00
768,4096,1,5660.00
1024,256,1,628.00
1024,512,1,1032.00
1024,768,1,1505.00
1024,1024,1,1960.00
1024,1280,1,2391.00
1024,1536,1,3303.00
1024,1792,1,3563.00
1024,2048,1,3543.00
1024,2304,1,4107.00
1024,2560,1,4710.00
1024,2816,1,5105.00
1024,3072,1,5680.00
1024,3328,1,5739.00
1024,3584,1,6887.00
1024,3840,1,6831.00
1024,4096,1,7226.00
1280,256,1,759.00
1280,512,1,1251.00
1280,768,1,1792.00
1280,1024,1,2366.00
1280,1280,1,2892.00
1280,1536,1,4043.00
1280,1792,1,4040.00
1280,2048,1,4738.00
1280,2304,1,5182.00
1280,2560,1,5784.00
1280,2816,1,6045.00
1280,3072,1,6952.00
1280,3328,1,7222.00
1280,3584,1,8032.00
1280,3840,1,8235.00
1280,4096,1,8939.00
1536,256,1,817.00
1536,512,1,1504.00
1536,768,1,2165.00
1536,1024,1,3025.00
1536,1280,1,3397.00
1536,1536,1,4529.00
1536,1792,1,5343.00
1536,2048,1,5293.00
1536,2304,1,6180.00
1536,2560,1,7081.00
1536,2816,1,7883.00
1536,3072,1,8064.00
1536,3328,1,8759.00
1536,3584,1,9248.00
1536,3840,1,10079.00
1536,4096,1,10373.00
1792,256,1,955.00
1792,512,1,1677.00
1792,768,1,2482.00
1792,1024,1,4346.00
1792,1280,1,4354.00
1792,1536,1,4889.00
1792,1792,1,5916.00
1792,2048,1,6980.00
1792,2304,1,7084.00
1792,2560,1,7987.00
1792,2816,1,8720.00
1792,3072,1,9514.00
1792,3328,1,10072.00
1792,3584,1,10776.00
1792,3840,1,11807.00
1792,4096,1,12525.00
2048,256,1,1060.00
2048,512,1,1956.00
2048,768,1,2835.00
2048,1024,1,4340.00
2048,1280,1,5253.00
2048,1536,1,5695.00
2048,1792,1,6341.00
2048,2048,1,7742.00
2048,2304,1,8069.00
2048,2560,1,9144.00
2048,2816,1,9680.00
2048,3072,1,10531.00
2048,3328,1,11644.00
2048,3584,1,12982.00
2048,3840,1,13364.00
2048,4096,1,14239.00
2304,256,1,1204.00
2304,512,1,2139.00
2304,768,1,3755.00
2304,1024,1,4835.00
2304,1280,1,5195.00
2304,1536,1,6173.00
2304,1792,1,7115.00
2304,2048,1,8013.00
2304,2304,1,9005.00
2304,2560,1,9939.00
2304,2816,1,11361.00
2304,3072,1,12024.00
2304,3328,1,12762.00
2304,3584,1,14044.00
2304,3840,1,14992.00
2304,4096,1,15857.00
2560,256,1,1253.00
2560,512,1,2391.00
2560,768,1,4082.00
2560,1024,1,5218.00
2560,1280,1,5732.00
2560,1536,1,7229.00
2560,1792,1,8111.00
2560,2048,1,8921.00
2560,2304,1,10133.00
